iter	Passed	Remaining
0	24	2469
1	47	2350
2	71	2333
3	98	2388
4	120	2321
5	142	2250
6	162	2179
7	184	2142
8	205	2102
9	231	2107
10	255	2093
11	280	2078
12	304	2058
13	325	2023
14	350	2011
15	372	1980
16	397	1962
17	418	1928
18	439	1894
19	460	1866
20	483	1842
21	502	1805
22	523	1774
23	552	1772
24	572	1740
25	599	1729
26	625	1714
27	647	1687
28	669	1661
29	687	1627
30	712	1609
31	733	1580
32	752	1550
33	773	1524
34	796	1501
35	818	1477
36	837	1448
37	863	1432
38	885	1407
39	910	1388
40	929	1360
41	950	1335
42	971	1309
43	994	1288
44	1017	1266
45	1037	1240
46	1058	1216
47	1082	1194
48	1104	1172
49	1125	1148
50	1149	1126
51	1173	1105
52	1194	1082
53	1216	1059
54	1240	1037
55	1276	1025
56	1330	1027
57	1380	1023
58	1407	1002
59	1430	977
60	1456	954
61	1482	932
62	1508	909
63	1532	886
64	1559	863
65	1582	839
66	1606	815
67	1633	792
68	1668	773
69	1693	750
70	1718	726
71	1744	702
72	1767	677
73	1793	654
74	1821	631
75	1844	606
76	1867	582
77	1891	557
78	1916	533
79	1941	509
80	1973	487
81	1995	462
82	2018	437
83	2041	413
84	2062	388
85	2083	363
86	2105	338
87	2134	315
88	2156	290
89	2176	266
90	2198	241
91	2220	217
92	2240	192
93	2264	168
94	2287	144
95	2311	120
96	2335	96
97	2355	72
98	2375	47
99	2395	23
100	2418	0
